name,latitude,longitude,type
Foro Romano,41.89253369,12.48515636,Monument
Circo Massimo,41.88622488,12.48525891,Park
Chiesa di Santa Maria Campitelli,41.89310512,12.47927642,Church
Santa Maria degli Angeli Martiri,41.90418662,12.49821544,Church
Mausoleo delle Fosse Ardeatine,41.8572371,12.51037973,Monument
Mausoleo di Augusto,41.90598369,12.47644866,Monument
Mercati di Traiano,41.89572608,12.48636208,Monument
Basilica di San Pietro,41.90216126,12.45438735,Church
San Lorenzo,41.89436401,12.51514713,Project Site
Campidoglio,41.8930699,12.48296458,Square
Pantheon,41.89856331,12.47688245,Church
Basilica di Santa Sabina all’Aventino,41.88440979,12.47986311,Church
Basilica di Santa Maria in Aracoeli,41.89413025,12.48315471,Church
Chiesa di Sant'Ivo alla Sapienza,41.89821337,12.47453584,Church
Mausoleo di Santa Costanza,41.92261721,12.5173335,Church
Viale di Trastevere Apartment,41.87555778,12.46606977,Home
Basilica di San Clemente,41.88932882,12.49754973,Church
Arco di Costantino,41.88973196,12.49062782,Monument
Piazza Navona,41.89909015,12.47307074,Square
Villa Farnesina,41.89358876,12.46722364,Monument
Piazza del Popolo,41.91064767,12.47646369,Square
Piramide di Caio Cestio,41.8764317,12.48083133,Monument
