Year,Refugees,Asylum-seekers,Country
2022,2306,6,Albania
2022,233524,34457,Austria
2022,127831,20368,Belgium
2022,12547,780,Belarus
2022,349,134,Bosnia & Herzegovina
2022,144921,10132,Bulgaria
2022,388274,914,Czech Republic
2022,63213,2928,Denmark
2022,53327,5405,Finland
2022,613272,64034,France
2022,231597,127421,United Kingdom
2022,2234932,237691,Germany
2022,147420,22117,Greece
2022,16415,1077,Croatia
2022,31510,20,Hungary
2022,51647,9774,Ireland
2022,295506,58908,Italy
2022,49535,381,Lithuania
2022,9868,1795,Luxembourg
2022,35081,170,Latvia
2022,1430,15,Macedonia
2022,79477,8117,Moldova
2022,9236,121,Montenegro
2022,198407,21070,Netherlands
2022,63839,4075,Norway
2022,1210582,3507,Poland
2022,48670,2858,Portugal
2022,88137,875,Romania
2022,263803,124030,Spain
2022,26417,282,Kosovo
2022,84885,50,Slovakia
2022,7570,990,Slovenia
2022,276381,14131,Sweden
2022,112835,8122,Switzerland
2022,2345,1325,Ukraine
2022,28600,174,Estonia
2022,17,0,Monaco
2021,109,6,Albania
2021,152514,27847,Austria
2021,74063,28955,Belgium
2021,2729,114,Belarus
2021,240,150,Bosnia & Herzegovina
2021,22830,7547,Bulgaria
2021,1909,1073,Czech Republic
2021,36023,1519,Denmark
2021,24078,2408,Finland
2021,499914,75708,France
2021,137078,104897,United Kingdom
2021,1255694,253867,Germany
2021,119650,37047,Greece
2021,1020,562,Croatia
2021,5676,5,Hungary
2021,9571,6904,Ireland
2021,144862,51779,Italy
2021,1880,122,Lithuania
2021,6011,1765,Luxembourg
2021,705,209,Latvia
2021,292,25,Macedonia
2021,349,56,Moldova
2021,175,132,Montenegro
2021,99585,17106,Netherlands
2021,46042,1268,Norway
2021,4875,3823,Poland
2021,2651,2162,Portugal
2021,4200,1504,Romania
2021,122539,103850,Spain
2021,25644,223,Kosovo
2021,1046,43,Slovakia
2021,839,572,Slovenia
2021,240854,13954,Sweden
2021,118829,7109,Switzerland
2021,2382,2719,Ukraine
2021,321,15,Estonia
2021,17,0,Monaco
2020,105,0,Albania
2020,141816,20710,Austria
2020,64973,29305,Belgium
2020,2900,143,Belarus
2020,5232,256,Bosnia & Herzegovina
2020,21113,1938,Bulgaria
2020,1919,1537,Czech Republic
2020,36643,1331,Denmark
2020,23428,6316,Finland
2020,436055,118137,France
2020,132304,77245,United Kingdom
2020,1210596,243157,Germany
2020,103101,60873,Greece
2020,956,567,Croatia
2020,5838,38,Hungary
2020,9035,7393,Ireland
2020,128033,53901,Italy
2020,1880,122,Lithuania
2020,5158,1400,Luxembourg
2020,637,73,Latvia
2020,303,21,Macedonia
2020,405,59,Moldova
2020,166,193,Montenegro
2020,95897,11882,Netherlands
2020,49653,1083,Norway
2020,2771,3602,Poland
2020,2405,1154,Portugal
2020,3581,2242,Romania
2020,103624,103385,Spain
2020,26085,302,Kosovo
2020,1006,44,Slovakia
2020,823,277,Slovenia
2020,248372,18603,Sweden
2020,115798,6547,Switzerland
2020,2249,2359,Ukraine
2020,277,5,Estonia
2020,22,0,Monaco
