Country,Embassy
Austria,Malta has an Embassy
Belgium,Malta has an Embassy
China,Both have Embassies
Denmark,Malta has an Embassy
Egypt,Both have Embassies
France,Both have Embassies
Germany,Both have Embassies
Greece,Both have Embassies
Ireland,Both have Embassies
Italy,Both have Embassies
Netherlands,Both have Embassies
Portugal,Malta has an Embassy
Russia,Both have Embassies
Saudi Arabia,Malta has an Embassy
Spain,Both have Embassies
Tunisia,Both have Embassies
United States,Both have Embassies
Australia,Has Embassy in Malta
Ghana,Has Embassy in Malta
Hungary,Has Embassy in Malta
India,Has Embassy in Malta
Kuwait,Has Embassy in Malta
Libya,Has Embassy in Malta
Palestine,Has Embassy in Malta
Qatar,Has Embassy in Malta
Poland,Has Embassy in Malta
Serbia,Has Embassy in Malta
Turkey,Has Embassy in Malta
United Kingdom,Has Embassy in Malta
